Equipe,Absence 1,Absence 2,Absence 3,Absence 4,Style de jeu,Lien calendrier,Rang equipe,Ligue,Classement reel,Points finaux
Getafe,Unal,Alderete,Milla,Maksimovic,Counter Attack,https://fbref.com/fr/equipes/7848bd64/2022-2023/Statistiques-Getafe#all_matchlogs,3,ES,15,42
Valencia,Gaya,Almeida,Lino,Comert,Direct,https://fbref.com/fr/equipes/dcc91a7b/2022-2023/Statistiques-Valencia#all_matchlogs,2,ES,16,42
Elche,Boye,Gumbau,Mascarell,Clerc,Maintenance,https://fbref.com/fr/equipes/6c8b07df/2022-2023/Statistiques-Elche#all_matchlogs,3,ES,20,25
Real Madrid,Benzema,Vinicius,Valverde/Kroos,Rodrygo,Build up,https://fbref.com/fr/equipes/53a2f082/2022-2023/Statistiques-Real-Madrid#all_matchlogs,1,ES,2,78
Valladolid,Plata,Larin,Escudero,El Yamiq,Counter Attack,https://fbref.com/fr/equipes/17859612/2022-2023/Statistiques-Valladolid#all_matchlogs,3,ES,18,40
Rayo Vallecano,Palazon,Alvaro Garcia,Comesana,Fran Garcia,Maintenance,https://fbref.com/fr/equipes/98e8af82/2022-2023/Statistiques-Rayo-Vallecano#all_matchlogs,3,ES,11,49
Aston Villa,Watkins,Douglas Luiz,Ramsey,McGinn,Direct,https://fbref.com/fr/equipes/8602292d/2022-2023/Statistiques-Aston-Villa#all_matchlogs,3,UK,7,61
Brighton & Hove Albion,March,Mac Allister,Mitoma,Caicedo,Build up,https://fbref.com/fr/equipes/d07537b9/2022-2023/Statistiques-Brighton-and-Hove-Albion#all_matchlogs,3,UK,9,51
Arsenal,Jesus,Saka,Odegaard,Martinelli,Build up,https://fbref.com/fr/equipes/18bb7c10/2022-2023/Statistiques-Arsenal#all_matchlogs,2,UK,2,84
West Ham United,Rice,Paqueta,Bowen,Soucek,Direct,https://fbref.com/fr/equipes/7c21e445/2022-2023/Statistiques-West-Ham-United#all_matchlogs,2,UK,14,40
Southampton,Ward-Prowse,Salisu,Bella-Kotchap,Sulemana,Build up,https://fbref.com/fr/equipes/33c895d4/2022-2023/Statistiques-Southampton#all_matchlogs,3,UK,20,25
Burnley,Mcneil,Tarkowski,Cornet,Taylor,Counter Attack,,4,UK,18,35
Newcastle United,Trippier,Guimaraes,Joelinton,Isak,Counter Attack,https://fbref.com/fr/equipes/b2b47a98/2022-2023/Statistiques-Newcastle-United#all_matchlogs,3,UK,4,71
